Date,China (SSE Composite Index),France (CAC 40),UK (FTSE 100),Germany (DAX),US (S&P 500),Canada (S&P/TSX Composite),Korea (KOSPI),Japan (Nikkei 225),India (Nifty 50)
2021-10-25,3574.260009765625,6752.97998046875,7204.60009765625,15580.580078125,4553.68994140625,21244.099609375,3001.10009765625,28527.130859375,18229.5
2021-10-26,3612.830078125,6723.06005859375,7222.7998046875,15652.91015625,4578.68994140625,21311.80078125,3039.820068359375,28927.609375,18154.5
2021-10-27,3589.860107421875,6755.6298828125,7277.60009765625,15725.400390625,4580.22021484375,21167.900390625,3045.830078125,29056.009765625,18295.849609375
2021-10-28,3548.699951171875,6750.77978515625,7253.2998046875,15681.51953125,4562.83984375,20990.80078125,3023.169921875,28871.609375,18187.650390625
2021-10-29,3519.330078125,6778.7900390625,7249.5,15579.900390625,4572.8701171875,21116.900390625,3025.669921875,28819.16015625,17833.05078125
2021-11-01,3530.39990234375,6870.27978515625,7237.60009765625,15764.5498046875,4610.6201171875,21124.30078125,2984.179931640625,29330.6796875,17783.150390625
2021-11-02,3543.3798828125,6883.06005859375,7288.60009765625,15825.26953125,4613.33984375,21250.599609375,2995.580078125,29462.400390625,17970.900390625
2021-11-04,3505.889892578125,6977.6201171875,7248.89990234375,16035.900390625,4662.93017578125,21334.400390625,3000.919921875,29859.740234375,17935.05078125
2021-11-08,3491.969970703125,7041.60009765625,7304.0,16040.849609375,4701.47998046875,21537.400390625,2965.360107421875,29735.44921875,18040.19921875
2021-11-09,3507.110107421875,7023.580078125,7300.39990234375,16026.740234375,4707.25,21571.80078125,2958.14990234375,29557.55078125,18084.349609375
2021-11-10,3498.93994140625,7046.169921875,7274.0,16053.0,4670.259765625,21567.19921875,2947.4599609375,29209.060546875,17973.44921875
2021-11-11,3486.449951171875,7038.83984375,7340.2001953125,16067.33984375,4659.39013671875,21602.099609375,2911.409912109375,29046.189453125,17967.44921875
2021-11-12,3534.14990234375,7062.5400390625,7384.2001953125,16100.080078125,4655.240234375,21595.0,2945.949951171875,29381.44921875,17977.599609375
2021-11-15,3542.89990234375,7090.9599609375,7347.89990234375,16109.41015625,4689.2998046875,21758.099609375,2989.679931640625,29807.369140625,18140.94921875
2021-11-16,3530.4599609375,7146.3701171875,7351.89990234375,16174.3095703125,4679.419921875,21720.400390625,2995.679931640625,29749.7109375,18127.05078125
2021-11-17,3518.56005859375,7149.2998046875,7327.0,16248.3203125,4701.5,21713.5,3004.02001953125,29906.6796875,17939.349609375
2021-11-18,3531.489990234375,7155.0498046875,7291.2001953125,16262.2900390625,4700.72021484375,21649.900390625,2959.260009765625,29597.9296875,17890.55078125
2021-11-22,3562.762939453125,7130.240234375,7223.60009765625,16188.5400390625,4712.0,21578.80078125,2983.3798828125,29618.55078125,17796.25
2021-11-24,3590.01904296875,7052.18017578125,7266.7001953125,15942.2802734375,4675.77978515625,21378.099609375,3006.340087890625,29663.44921875,17550.05078125
2021-11-26,3576.110107421875,6814.89990234375,7310.39990234375,15383.900390625,4664.6298828125,21383.69921875,2973.0400390625,29324.470703125,17338.75
2021-11-29,3528.669921875,6831.41015625,7044.0,15418.2802734375,4628.75,21256.19921875,2906.14990234375,28337.9609375,17055.80078125
2021-11-30,3570.75,6679.02978515625,7110.0,15117.6298828125,4640.25,21059.80078125,2932.7099609375,28611.73046875,17051.150390625
2021-12-01,3561.889892578125,6774.7998046875,7059.5,15233.3701171875,4602.81982421875,20917.5,2860.1201171875,27866.73046875,17104.400390625
2021-12-02,3573.25,6794.77001953125,7168.7001953125,15300.73046875,4504.72998046875,20496.69921875,2874.639892578125,27716.19921875,17183.19921875
2021-12-03,3576.449951171875,6860.72998046875,7129.2001953125,15422.900390625,4589.490234375,20815.900390625,2935.929931640625,27841.05078125,17424.900390625
2021-12-06,3615.239990234375,6810.93017578125,7122.2998046875,15323.2001953125,4548.3701171875,20669.80078125,2954.820068359375,28069.9609375,17209.05078125
2021-12-07,3611.219970703125,6934.68017578125,7232.2998046875,15546.7001953125,4631.97021484375,21041.400390625,2973.840087890625,28138.8203125,17044.099609375
2021-12-08,3602.820068359375,7064.1201171875,7339.89990234375,15781.0498046875,4690.85986328125,21136.0,3017.929931640625,28792.890625,17315.25
2021-12-09,3641.159912109375,7035.93017578125,7337.10009765625,15705.9296875,4691.0,20983.0,3007.0,28827.3203125,17524.400390625
2021-12-10,3654.3701171875,6960.39013671875,7321.2998046875,15572.6904296875,4687.64013671875,21014.30078125,3008.699951171875,28542.5,17476.05078125
2021-12-13,3686.93994140625,7004.759765625,7291.7998046875,15653.5703125,4710.2998046875,20885.5,3019.669921875,28705.259765625,17619.099609375
2021-12-14,3669.81005859375,6978.77001953125,7231.39990234375,15680.349609375,4642.990234375,20616.0,2983.949951171875,28554.859375,17283.19921875
2021-12-15,3655.050048828125,6923.52001953125,7218.60009765625,15503.6396484375,4636.4599609375,20653.80078125,2979.830078125,28358.470703125,17323.650390625
2021-12-16,3648.929931640625,7054.919921875,7170.7998046875,15708.9404296875,4719.1298828125,20890.5,3013.260009765625,28868.369140625,17373.0
2021-12-17,3670.260009765625,6982.06982421875,7260.60009765625,15599.75,4652.5,20616.5,2985.199951171875,28854.599609375,17276.0
2021-12-20,3620.0400390625,6783.830078125,7269.89990234375,15152.5595703125,4587.89990234375,20545.80078125,3001.330078125,28325.4609375,16824.25
2021-12-21,3591.449951171875,6935.66015625,7198.0,15379.080078125,4594.9599609375,20717.30078125,2981.669921875,28309.599609375,16773.150390625
2021-12-22,3632.679931640625,6982.52978515625,7297.39990234375,15474.83984375,4650.35986328125,20893.400390625,2993.5,28614.060546875,16865.55078125
2021-12-23,3625.469970703125,7071.93017578125,7341.7001953125,15660.7802734375,4703.9599609375,21118.19921875,2998.02001953125,28703.009765625,17066.80078125
2021-12-29,3630.919921875,7179.10986328125,7372.10009765625,15952.4697265625,4788.64013671875,21276.400390625,3002.89990234375,28995.73046875,17220.099609375
2021-12-30,3596.489990234375,7167.52978515625,7420.7001953125,15837.5595703125,4794.22998046875,21339.099609375,2999.75,28794.240234375,17201.44921875
