Date,China (SSE Composite Index),France (CAC 40),UK (FTSE 100),Germany (DAX),US (S&P 500),Canada (S&P/TSX Composite),Korea (KOSPI),Japan (Nikkei 225),India (Nifty 50)
2023-08-22,3074.530029296875,7223.06982421875,7257.60009765625,15677.4404296875,4382.77001953125,19675.099609375,2509.530029296875,31693.759765625,19381.30078125
2023-08-23,3077.610107421875,7224.06982421875,7270.7998046875,15672.4296875,4396.43994140625,19713.5,2499.889892578125,31717.91015625,19366.599609375
2023-08-24,3072.949951171875,7210.0,7320.5,15618.6904296875,4375.5498046875,19775.80078125,2520.72998046875,32063.140625,19369.0
2023-08-25,3053.0400390625,7196.83984375,7327.0,15578.9697265625,4356.2900390625,19681.80078125,2502.050048828125,31572.060546875,19229.69921875
2023-08-29,3090.43994140625,7322.4501953125,7338.60009765625,15805.419921875,4431.68017578125,19999.599609375,2545.27001953125,32186.5703125,19309.099609375
2023-08-30,3126.89990234375,7321.35009765625,7464.7001953125,15823.330078125,4493.58984375,20309.400390625,2561.219970703125,32300.560546875,19334.75
2023-08-31,3113.949951171875,7316.7001953125,7439.10009765625,15914.4296875,4507.39013671875,20286.599609375,2547.719970703125,32359.150390625,19223.650390625
2023-09-01,3123.18994140625,7294.490234375,7439.10009765625,15840.25,4501.35009765625,20398.80078125,2551.0400390625,32499.439453125,19255.69921875
2023-09-05,3150.080078125,7183.7998046875,7389.7998046875,15691.490234375,4496.009765625,20412.900390625,2575.18994140625,32784.3203125,19525.75
2023-09-06,3136.89990234375,7168.83984375,7369.60009765625,15676.509765625,4442.3798828125,20181.599609375,2560.090087890625,33088.21875,19491.5
2023-09-07,3120.820068359375,7165.97998046875,7385.89990234375,15661.3798828125,4430.4599609375,20119.400390625,2539.239990234375,32986.3515625,19550.05078125
2023-09-08,3104.669921875,7136.56005859375,7402.10009765625,15577.0400390625,4448.3798828125,20066.400390625,2530.050048828125,32512.80078125,19727.05078125
2023-09-11,3113.820068359375,7253.64990234375,7467.39990234375,15771.0703125,4467.89013671875,20096.900390625,2540.43994140625,32391.689453125,19865.349609375
2023-09-12,3134.320068359375,7241.990234375,7496.2998046875,15686.33984375,4456.830078125,20154.30078125,2535.14990234375,32486.48046875,19914.650390625
2023-09-13,3106.969970703125,7184.56005859375,7490.39990234375,15564.6396484375,4453.52001953125,20202.69921875,2528.179931640625,32616.650390625,19944.099609375
2023-09-14,3111.860107421875,7184.25,7526.0,15588.1201171875,4478.68994140625,20370.400390625,2541.110107421875,32851.23828125,20043.44921875
2023-09-15,3107.449951171875,7366.2099609375,7673.10009765625,15871.169921875,4447.2099609375,20534.5,2572.3701171875,33391.4609375,20129.69921875
2023-09-20,3108.157958984375,7272.68017578125,7659.60009765625,15699.33984375,4401.3798828125,20214.400390625,2551.1201171875,32988.6484375,19878.849609375
2023-09-21,3084.700927734375,7199.10986328125,7674.7001953125,15548.6904296875,4329.169921875,19791.599609375,2514.9599609375,32550.650390625,19709.94921875
2023-09-22,3078.801025390625,7133.64990234375,7640.7998046875,15471.75,4316.490234375,19769.30078125,2486.139892578125,32154.529296875,19657.5
2023-09-25,3112.15087890625,7087.6298828125,7580.7998046875,15329.400390625,4302.7001953125,19671.80078125,2486.43994140625,32388.279296875,19601.55078125
2023-09-26,3102.27294921875,7033.830078125,7593.5,15229.349609375,4265.97998046875,19555.5,2461.590087890625,32315.05078125,19637.44921875
2023-09-27,3103.843994140625,7053.10986328125,7577.2001953125,15194.6796875,4238.6298828125,19341.400390625,2445.510009765625,31960.3203125,19554.0
2023-10-10,3073.18994140625,7085.1298828125,7492.2001953125,15272.5703125,4339.64013671875,19304.099609375,2402.43994140625,31314.669921875,19565.44921875
2023-10-11,3071.93603515625,7080.009765625,7608.7001953125,15361.740234375,4345.33984375,19541.69921875,2436.52001953125,31804.08984375,19756.94921875
2023-10-12,3092.177001953125,7097.52978515625,7620.0,15413.2001953125,4325.43017578125,19410.5,2464.840087890625,32120.939453125,19772.650390625
2023-10-13,3080.550048828125,6997.47998046875,7590.7001953125,15178.0703125,4311.97021484375,19435.0,2452.830078125,32249.029296875,19635.30078125
2023-10-16,3063.68603515625,6963.02001953125,7584.60009765625,15103.1201171875,4342.3701171875,19426.900390625,2422.52001953125,31564.310546875,19691.849609375
2023-10-17,3064.889892578125,6969.06982421875,7616.7998046875,15117.240234375,4337.5400390625,19552.19921875,2449.419921875,31901.390625,19775.650390625
2023-10-18,3057.05908203125,6954.10009765625,7579.2998046875,15081.6904296875,4303.83984375,19434.30078125,2450.780029296875,31866.94921875,19659.94921875
2023-10-19,3004.77490234375,6875.77001953125,7490.5,14984.58984375,4269.68994140625,19327.099609375,2412.550048828125,31399.169921875,19512.349609375
2023-10-20,2977.169921875,6816.169921875,7395.60009765625,14798.4697265625,4223.02978515625,19115.599609375,2364.010009765625,31093.900390625,19518.69921875
2023-10-23,2923.510986328125,6773.81982421875,7338.60009765625,14630.2099609375,4189.22021484375,18937.599609375,2354.699951171875,30974.259765625,19257.849609375
2023-10-25,2972.41796875,6846.509765625,7368.39990234375,14789.6298828125,4181.419921875,18922.400390625,2362.68994140625,31195.580078125,19074.150390625
2023-10-26,2956.006103515625,6825.58984375,7342.5,14655.080078125,4127.89990234375,18811.30078125,2299.080078125,30567.609375,18837.849609375
2023-10-27,2974.8798828125,6784.6201171875,7279.89990234375,14667.3701171875,4103.77978515625,18692.099609375,2293.050048828125,30687.330078125,18926.650390625
2023-10-30,3002.347900390625,6809.83984375,7291.2998046875,14678.73046875,4132.93994140625,18762.30078125,2292.340087890625,30538.2890625,18940.0
2023-10-31,3006.60888671875,6831.669921875,7309.0,14722.3798828125,4153.1201171875,18823.900390625,2273.969970703125,30552.650390625,19056.44921875
2023-11-01,3013.93310546875,6873.5498046875,7304.89990234375,14786.3203125,4197.740234375,18907.69921875,2288.639892578125,31301.509765625,18973.69921875
2023-11-02,3009.12109375,6982.0400390625,7342.39990234375,15028.0302734375,4268.259765625,19162.400390625,2333.409912109375,31878.359375,19064.150390625
2023-11-06,3037.694091796875,7006.52978515625,7403.5,15110.83984375,4347.52978515625,19710.0,2395.030029296875,32395.5,19309.69921875
2023-11-07,3042.468994140625,6963.8798828125,7397.39990234375,15068.25,4355.41015625,19530.69921875,2418.739990234375,32250.9296875,19329.099609375
2023-11-08,3037.2890625,6950.9501953125,7384.5,15086.41015625,4359.759765625,19479.400390625,2418.139892578125,32049.33984375,19401.5
2023-11-09,3045.833984375,7025.60986328125,7367.2001953125,15212.990234375,4343.93994140625,19578.80078125,2413.0400390625,32193.19921875,19378.349609375
2023-11-10,3027.087890625,7006.08984375,7320.0,15171.580078125,4353.33984375,19503.19921875,2393.639892578125,32248.240234375,19329.44921875
2023-11-13,3028.16796875,7056.08984375,7360.60009765625,15252.26953125,4393.81982421875,19606.30078125,2399.0400390625,32499.279296875,19414.75
