Date,000001.SS,^FCHI,^FTSE,^GDAXI,^GSPC,^GSPTSE,^KS11,^N225,^NSEI
2018-04-19,3127.43896484375,5397.83984375,7340.7001953125,12595.6103515625,2702.840087890625,15559.400390625,2490.570068359375,22360.650390625,10572.2001953125
2018-04-20,3111.1708984375,5425.7900390625,7368.2001953125,12585.3701171875,2693.93994140625,15501.099609375,2485.14990234375,22261.349609375,10582.349609375
2018-04-23,3085.056884765625,5440.83984375,7404.10009765625,12588.23046875,2682.860107421875,15582.2998046875,2478.570068359375,22204.859375,10638.349609375
2018-04-24,3136.0400390625,5446.7001953125,7439.60009765625,12647.16015625,2683.550048828125,15589.2001953125,2479.320068359375,22304.689453125,10636.7998046875
2018-04-25,3122.907958984375,5442.31982421875,7427.10009765625,12484.7802734375,2645.300048828125,15538.5,2453.5400390625,22228.779296875,10612.599609375
2018-04-26,3121.93310546875,5460.009765625,7421.39990234375,12503.2197265625,2676.47998046875,15658.7998046875,2484.090087890625,22381.66015625,10628.400390625
2018-04-27,3088.034912109375,5483.18994140625,7507.10009765625,12627.7099609375,2677.35009765625,15682.2998046875,2508.1298828125,22495.560546875,10719.7998046875
2018-05-02,3097.60400390625,5538.72998046875,7573.0,12827.5400390625,2660.8701171875,15681.5,2516.570068359375,22568.189453125,10784.650390625
2018-05-08,3169.700927734375,5529.14990234375,7598.5,12933.669921875,2676.340087890625,15842.7001953125,2479.75,22566.6796875,10758.5498046875
2018-05-09,3165.373046875,5535.240234375,7662.5,12962.51953125,2701.27001953125,15910.7998046875,2451.860107421875,22478.640625,10766.25
2018-05-10,3176.137939453125,5547.2001953125,7706.89990234375,13034.2099609375,2726.110107421875,16000.2001953125,2464.719970703125,22530.640625,10785.5498046875
2018-05-11,3180.756103515625,5544.740234375,7728.89990234375,13033.2998046875,2732.860107421875,16030.400390625,2483.85009765625,22769.16015625,10812.0498046875
2018-05-14,3183.81591796875,5542.2099609375,7728.0,13015.099609375,2742.10009765625,16101.599609375,2486.169921875,22894.759765625,10834.849609375
2018-05-15,3192.806884765625,5563.35986328125,7752.0,13006.33984375,2718.590087890625,16132.099609375,2480.219970703125,22912.060546875,10929.2001953125
2018-05-16,3191.947998046875,5570.9599609375,7745.5,13030.759765625,2727.760009765625,16120.2998046875,2465.550048828125,22796.140625,10790.4501953125
2018-05-17,3172.76611328125,5621.919921875,7788.2001953125,13114.6298828125,2731.9599609375,16179.5,2472.820068359375,22887.029296875,10777.25
2018-05-18,3193.452880859375,5643.14990234375,7791.39990234375,13133.1904296875,2719.5,16168.2001953125,2461.949951171875,22954.189453125,10674.9501953125
